Year,Facility Name,Sample Station Name ,Latitude,Longitude,Sample Type en,Sample Type fr,Substance Name en,Substance Name fr,Statistical Quantity en,Statistical Quantity fr,energy_below_1_mev,Result,Units
2010,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.021,GBq/yr
2011,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.013,GBq/yr
2012,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.009,GBq/yr
2013,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.009,GBq/yr
2014,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.006,GBq/yr
2010,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.18,GBq/yr
2011,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.116,GBq/yr
2012,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.075,GBq/yr
2013,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.077,GBq/yr
2014,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.054,GBq/yr
2010,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.044,GBq/yr
2011,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.027,GBq/yr
2012,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.017,GBq/yr
2013,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.022,GBq/yr
2014,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.018,GBq/yr
2010,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.001,GBq/yr
2011,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.001,GBq/yr
2012,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.0002,GBq/yr
2013,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.0006,GBq/yr
2014,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.0007,GBq/yr
2010,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.001,GBq/yr
2011,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.001,GBq/yr
2012,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0003,GBq/yr
2013,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0006,GBq/yr
2014,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0005,GBq/yr
2010,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.001,GBq/yr
2011,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0004,GBq/yr
2012,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0004,GBq/yr
2013,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0005,GBq/yr
2014,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0004,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.191,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.044,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0.111,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.006,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.06,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.019,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.001,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.001,GBq/yr
2015,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0004,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.222,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.051,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0.144,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.006,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.052,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.026,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.001,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0015,GBq/yr
2016,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0007,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.212,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.048,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0.145,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.006,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.049,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.022,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.001,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.002,GBq/yr
2017,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0007,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.243,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.055,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0.146,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.007,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.055,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.027,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.001,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0017,GBq/yr
2018,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0007,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.162,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.038,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0.063,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0.004,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0.036,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.02,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.002,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0019,GBq/yr
2019,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.0007,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?<1MeV,?<1MeV,Annual Total,Total annuel,,0.226,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,?>1MeV,?>1MeV,Annual Total,Total annuel,,0.057,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-125,Iode-125,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Iodine-131,Iode-131,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Molybdenum-99,Molybdène-99,Annual Total,Total annuel,,0,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.031,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.0015,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.0013,GBq/yr
2020,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.00076,GBq/yr
2021,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.0046,GBq/yr
2021,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.002,GBq/yr
2021,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.002,GBq/yr
2021,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.001,GBq/yr
2022,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cobalt-60,Cobalt-60,Annual Total,Total annuel,,0.038,GBq/yr
2022,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Niobium-95,Niobium-95,Annual Total,Total annuel,,0.002,GBq/yr
2022,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Zirconium-95,Zirconium-95,Annual Total,Total annuel,,0.001,GBq/yr
2022,Nordion,Sewer,45.3408,-75.9179,Liquid Releases,Rejets liquides,Cesium-137,Césium-137,Annual Total,Total annuel,,0.001,GBq/yr
